SerialNumber,HostName,HostIp,ModelNumber,DisplayStatus,Manufacturer,UserName,FirmwareVersion
CN42440PDW,GJPC-0439.aus.gjames.com.au,10.54.4.207,HP E24u G4,ON,HPN,e104314,1.0.8.0
H4LRB00923,GJLT-1601.aus.gjames.com.au,10.54.4.143,LF24T450F,ON,SAM,e103978,
H4ZRB00689,GJLT-1601.aus.gjames.com.au,10.54.4.143,LF24T450F,ON,SAM,e103978,
H4ZT200312,GJPC-0503.aus.gjames.com.au,10.54.4.167,LF24T450F,ON,SAM,e104035,
H4LRB01429,GJPC-0503.aus.gjames.com.au,10.54.4.167,LF24T450F,ON,SAM,e104035,
H4ZT200309,GJPC-0452.aus.gjames.com.au,10.54.4.139,LF24T450F,ON,SAM,e103429,
HTHFA00493,GJLT-1683.aus.gjames.com.au,127.0.0.1,S24C650,Not Connected,SAM,e104347,
H4LRB01138,GJPC-0454.aus.gjames.com.au,10.54.4.188,LF24T450F,ON,SAM,e103719,
H4ZRB00140,GJPC-0454.aus.gjames.com.au,10.54.4.188,LF24T450F,ON,SAM,e103719,
000,GJLT-1433.aus.gjames.com.au,10.55.4.186,KALED35UWLB,ON,KGN,e023754,
CNC25126Z3,GJPC-0270.aus.gjames.com.au,10.54.4.108,HP P34hc G4,ON,HPN,e103761,1.0.5.0
H4ZJ800266,GJPC-0144.aus.gjames.com.au,10.54.4.105,S24E650,ON,SAM,e103785,
H4ZK400612,GJPC-0476.aus.gjames.com.au,10.54.4.119,S24E650,Not Connected,SAM,e104035,
H4ZRC01222,GJPC-0144.aus.gjames.com.au,10.54.4.105,LF24T450F,ON,SAM,e103785,
HNAR304971,GJLT-1409.aus.gjames.com.au,10.54.4.189,LF24T450F,ON,SAM,e101622,
H4LRA00179,GJLT-1409.aus.gjames.com.au,10.54.4.189,LF24T450F,ON,SAM,e101622,
4766G26JAKWL,GJPC-0412.aus.gjames.com.au,192.168.1.105,DELL ST2320L,Not Connected,DEL,e104035,
TATSA0028524,GJPC-0412.aus.gjames.com.au,192.168.1.105,KG271U,Not Connected,ACR,e104035,
UID4145,GJLT-1656.aus.gjames.com.au,127.0.0.1,E2241,ON,GSM,e008726,
CN430108DK,GJPC-0452.aus.gjames.com.au,10.54.4.139,HP E24u G5,ON,HPN,e103429,1.30.0.0
HTOK800028,GJLT-0549.aus.gjames.com.au,10.54.4.129,C34H89x,Not Connected,SAM,andy,
H4ZT200767,GJPC-0417.aus.gjames.com.au,10.55.5.188,LF24T450F,ON,SAM,e023696,
H4ZT200394,GJPC-0417.aus.gjames.com.au,10.55.5.188,LF24T450F,ON,SAM,e023696,
HTHFA00482,GJWS-0384.aus.gjames.com.au,10.54.4.181,S24C650,Not Connected,SAM,e024067,
HTHFA00487,GJWS-0384.aus.gjames.com.au,10.54.4.181,S24C650,Not Connected,SAM,e024067,
HTMC203730,GJWS-4053.aus.gjames.com.au,10.18.4.110,SMS24A450,ON,SAM,e102517,
H4ZJ800404,GJWS-4053.aus.gjames.com.au,10.18.4.110,S24E650,ON,SAM,e102517,
CALMTF169833,GJLT-1665.aus.gjames.com.au,10.54.4.168,ASUS PB278,ON,ACI,e102561,
HMJZC00255,GJPC-0479.aus.gjames.com.au,10.64.4.110,SyncMaster,ON,SAM,operator,
H4ZHA01192,GJPC-0424.aus.gjames.com.au,10.243.10.39,S24E650,Not Connected,SAM,e102547,
UID4611,GJPC-0424.aus.gjames.com.au,10.243.10.39,Q3202S,Not Connected,KTC,e102547,
H4ZK400404,GJLT-1665.aus.gjames.com.au,10.54.4.168,S24E650,Not Connected,SAM,e102561,
