Health Status,Name,IP,OS,Protection,Last user,Last active,Group,Tamper protection
Healthy,GJLT-4066,10.35.5.104;10.45.166.174;,Windows 10 Enterprise,Intercept X Advanced,e022415,"Jun 27, 2023 9:18 AM",,On
Healthy,GJWS-0495,10.55.4.59;,Windows 10 Enterprise,Intercept X Advanced,e000128,"Jun 27, 2023 9:18 AM",,On
Healthy,GJWS-0980,10.31.4.118;,Windows 10 Enterprise,Intercept X Advanced,e017988,"Jun 27, 2023 9:18 AM",,On
Healthy,GJLT-1102,10.54.4.226;10.54.5.106;,Windows 10 Enterprise,Intercept X Advanced,e100915,"Jun 27, 2023 9:17 AM",,On
Healthy,GJLT-1533,10.64.5.104;,Windows 10 Enterprise,Intercept X Advanced,e005708,"Jun 27, 2023 9:17 AM",,On
Healthy,GJLT-4054,10.54.4.138;,Windows 10 Enterprise,Intercept X Advanced,e101419,"Jun 27, 2023 9:17 AM",,On
Healthy,GJPC-0069,10.11.29.189;192.168.39.194;,Windows 10 Enterprise,Intercept X Advanced,ad-e103978,"Jun 27, 2023 9:17 AM",,On
Healthy,GJPC-0458,10.25.4.182;10.25.5.177;,Windows 10 Enterprise,Intercept X Advanced,e104323,"Jun 27, 2023 9:17 AM",,On
Questionable,GJWS-1675,10.68.5.170;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jun 27, 2023 9:17 AM",,On
Healthy,GJDC01EWS-Owen,10.11.29.182;,Windows 10 Enterprise,Intercept X Advanced,e103688,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-0614,10.18.5.105;,Windows 10 Enterprise,Intercept X Advanced,e103389,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-0997,10.36.4.105;10.36.5.177;,Windows 10 Enterprise,Intercept X Advanced,e102382,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-1025,10.43.4.116;,Windows 10 Enterprise,Intercept X Advanced,e017568,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-1405,10.55.4.159;,Windows 10 Enterprise,Intercept X Advanced,e104055,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-1426,192.168.178.45;10.158.224.121;10.243.8.172;,Windows 10 Enterprise,Intercept X Advanced,e104082,"Jun 27, 2023 9:16 AM",,On
Healthy,GJPC-0214,10.47.4.100;10.47.5.104;,Windows 10 Enterprise,Intercept X Advanced,e104296,"Jun 27, 2023 9:16 AM",,On
Healthy,GJPC-0273,10.20.4.104;10.20.5.110;,Windows 10 Enterprise,Intercept X Advanced,e104187,"Jun 27, 2023 9:16 AM",,On
Healthy,GJWS-0561,10.55.4.162;,Windows 10 Enterprise,Intercept X Advanced,e101322,"Jun 27, 2023 9:16 AM",,On
Questionable,GJWS-1505,10.64.34.177;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jun 27, 2023 9:16 AM",,On
Healthy,GJLT-0394,192.168.0.6;10.243.8.63;2001:8003:e04b:7f01:f39:5da3:6dfe:847a;2001:8003:e04b:7f01:482e:ecc9:e57c:b8d2,Windows 10 Enterprise,Intercept X Advanced,e003262,"Jun 27, 2023 9:15 AM",,On
Healthy,GJLT-0848,10.55.4.201;,Windows 10 Enterprise,Intercept X Advanced,e100039,"Jun 27, 2023 9:15 AM",,On
Healthy,GJLT-1165,10.20.4.125;,Windows 10 Enterprise,Intercept X Advanced,e102016,"Jun 27, 2023 9:15 AM",,On
Healthy,GJLT-1419,10.47.4.102;10.47.5.100;10.164.148.16;,Windows 10 Enterprise,Intercept X Advanced,e101525,"Jun 27, 2023 9:15 AM",,On
Healthy,GJLT-1592,10.64.4.102;10.64.5.174;192.168.25.1;192.168.239.1;,Windows 10 Enterprise,Intercept X Advanced,e102909,"Jun 27, 2023 9:15 AM",,On
Healthy,GJWS-0469,10.51.4.101;,Windows 10 Enterprise,Intercept X Advanced,e000129,"Jun 27, 2023 9:15 AM",,On
Healthy,GJWS-0573,10.55.4.178;,Windows 10 Enterprise,Intercept X Advanced,e023262,"Jun 27, 2023 9:15 AM",,On
Healthy,GJLT-0404,10.54.4.192;,Windows 10 Enterprise,Intercept X Advanced,e103755,"Jun 27, 2023 9:14 AM",,On
Healthy,GJLT-1103,10.62.4.101;10.62.5.151;192.168.30.1;192.168.158.1;,Windows 10 Enterprise,Intercept X Advanced,e016387,"Jun 27, 2023 9:14 AM",,On
Healthy,GJLT-1423,10.54.4.183;,Windows 10 Enterprise,Intercept X Advanced,e100636,"Jun 27, 2023 9:14 AM",,On
Healthy,GJLT-1614,10.55.4.85;,Windows 10 Enterprise,Intercept X Advanced,e021605,"Jun 27, 2023 9:14 AM",,On
Healthy,GJPC-0249,10.47.4.179;,Windows 10 Enterprise,Intercept X Advanced,e103721,"Jun 27, 2023 9:14 AM",,On
Healthy,GJWS-0430,10.19.4.100;,Windows 10 Enterprise,Intercept X Advanced,e104068,"Jun 27, 2023 9:14 AM",,On
Healthy,GJWS-0496,10.64.4.109;,Windows 10 Enterprise,Intercept X Advanced,e101659,"Jun 27, 2023 9:14 AM",,On
Healthy,GJWS-0736,10.63.4.151;,Windows 10 Enterprise,Intercept X Advanced,e103810,"Jun 27, 2023 9:14 AM",,On
Questionable,GJWS-1567,10.33.37.24;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jun 27, 2023 9:14 AM",,On
