Health Status,Name,IP,OS,Protection,Last user,Last active,Group,Tamper protection
Healthy,GJLT-0944,10.34.4.109;,Windows 10 Enterprise,Intercept X Advanced,e017793,"Jun 23, 2023 2:38 PM",,On
Healthy,GJWS-0755,10.34.4.101;,Windows 10 Enterprise,Intercept X Advanced,e102888,"Jun 23, 2023 2:38 PM",,On
Healthy,GJDC01DMS003,192.168.7.99;,Windows 10 Enterprise,Intercept X Advanced,svc_presezzi,"Jun 23, 2023 2:37 PM",,On
Healthy,GJLT-0940,10.34.4.110;10.34.5.185;,Windows 10 Enterprise,Intercept X Advanced,e008711,"Jun 23, 2023 2:37 PM",,On
Healthy,GJPC-0079,10.54.4.102;10.51.75.27;,Windows 10 Enterprise,Intercept X Advanced,e008412,"Jun 23, 2023 2:37 PM",,On
Healthy,GJTA-1583,10.64.5.186;,Windows 10 Enterprise,Intercept X Advanced,e021994,"Jun 23, 2023 2:37 PM",,On
Healthy,GJWS-0792,10.56.4.107;,Windows 10 Enterprise,Intercept X Advanced,e019995,"Jun 23, 2023 2:37 PM",,On
Healthy,GJWS-0819,10.30.4.108;,Windows 10 Enterprise,Intercept X Advanced,e104148,"Jun 23, 2023 2:37 PM",,On
Healthy,GJWS-1015,10.43.4.173;,Windows 10 Enterprise,Intercept X Advanced,e100987,"Jun 23, 2023 2:37 PM",,On
Healthy,GJWS-4060,10.33.4.107;,Windows 10 Enterprise,Intercept X Advanced,e104122,"Jun 23, 2023 2:37 PM",,On
Healthy,GJDC01TVW004,192.168.39.174;,Windows 10 Enterprise,Intercept X Advanced,ad-e101622,"Jun 23, 2023 2:36 PM",,On
Healthy,GJLT-1060,10.39.4.180;,Windows 10 Enterprise,Intercept X Advanced,e017964,"Jun 23, 2023 2:36 PM",,On
Healthy,GJLT-1189,10.19.4.181;10.19.5.100;,Windows 10 Enterprise,Intercept X Advanced,e101397,"Jun 23, 2023 2:36 PM",,On
Healthy,GJPC-0392,10.20.4.106;,Windows 10 Enterprise,Intercept X Advanced,e022656,"Jun 23, 2023 2:36 PM",,On
Healthy,GJPC-0406,10.42.5.173;,Windows 10 Enterprise,Intercept X Advanced,e009109,"Jun 23, 2023 2:36 PM",,On
Healthy,GJWS-0603,10.54.5.232;,Windows 10 Enterprise,Intercept X Advanced,svc_dashboard,"Jun 23, 2023 2:36 PM",,On
Healthy,GJWS-0728,10.17.4.175;,Windows 10 Pro,Intercept X Advanced,e003262,"Jun 23, 2023 2:36 PM",,On
Healthy,GJWS-0982,10.36.4.178;,Windows 10 Enterprise,Intercept X Advanced,e008102,"Jun 23, 2023 2:36 PM",,On
Healthy,GJDC01EWS-BPari,10.11.29.185;,Windows 10 Enterprise,Intercept X Advanced,e104362,"Jun 23, 2023 2:35 PM",,On
Healthy,GJDC01TVW001,192.168.7.101;,Windows 10 Enterprise,Intercept X Advanced,ad-e103978,"Jun 23, 2023 2:35 PM",,On
Healthy,GJLT-0465,10.56.4.190;,Windows 10 Enterprise,Intercept X Advanced,e103750,"Jun 23, 2023 2:35 PM",,On
Healthy,GJLT-1220,10.31.5.101;,Windows 10 Enterprise,Intercept X Advanced,e017988,"Jun 23, 2023 2:35 PM",,On
Healthy,GJPC-0464,10.54.4.182;10.54.5.101;10.215.190.219;,Windows 10 Enterprise,Intercept X Advanced,e104340,"Jun 23, 2023 2:35 PM",,On
