"Model categories","Class","Manufacturer","Model number","Name","Owner","Status","Expenditure type","Asset tracking strategy","Asset tracking unit"
"Mobile Handset","cmdb_hardware_product_model","","","","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Computer","cmdb_hardware_product_model","LENOVO","20BX002BAU","20BX002BAU","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Samsung","C34H89x","C34H89x","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","GETAC","F110G5","F110G5","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Hewlett-Packard","HP E24 G4","HP E24 G4","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Hewlett-Packard","HP E24u G4","HP E24u G4","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Monitor","cmdb_hardware_product_model","Hewlett-Packard","HP E24u G5","HP E24u G5","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite Dragonfly G2 Notebook PC","HP Elite Dragonfly G2 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite SFF 800 G9 Desktop PC","HP Elite SFF 800 G9 Desktop PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Computer","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x2 G8 Tablet","HP Elite x2 G8 Tablet","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x360 830 13 inch G9 2-in-1 Notebook PC","HP Elite x360 830 13 inch G9 2-in-1 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 650 15.6 inch G9 Notebook PC","HP EliteBook 650 15.6 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
